respondent_id,wait_5min,video_hd,specialist,visit_cost,rating
1,0,0,0,25,6
1,1,0,0,25,6
1,0,1,0,25,6
1,1,1,0,25,6
1,0,0,1,25,8
1,1,0,1,25,9
1,0,1,1,25,6
1,1,1,1,25,10
1,0,0,0,75,3
1,1,0,0,75,4
1,0,1,0,75,3
1,1,1,0,75,5
1,0,0,1,75,5
1,1,0,1,75,8
1,0,1,1,75,6
1,1,1,1,75,8
2,0,0,0,25,4
2,1,0,0,25,7
2,0,1,0,25,7
2,1,1,0,25,6
2,0,0,1,25,8
2,1,0,1,25,10
2,0,1,1,25,7
2,1,1,1,25,9
2,0,0,0,75,2
2,1,0,0,75,5
2,0,1,0,75,4
2,1,1,0,75,5
2,0,0,1,75,5
2,1,0,1,75,7
2,0,1,1,75,6
2,1,1,1,75,10
3,0,0,0,25,5
3,1,0,0,25,6
3,0,1,0,25,6
3,1,1,0,25,7
3,0,0,1,25,6
3,1,0,1,25,9
3,0,1,1,25,8
3,1,1,1,25,9
3,0,0,0,75,4
3,1,0,0,75,5
3,0,1,0,75,5
3,1,1,0,75,5
3,0,0,1,75,7
3,1,0,1,75,6
3,0,1,1,75,7
3,1,1,1,75,8
4,0,0,0,25,5
4,1,0,0,25,5
4,0,1,0,25,6
4,1,1,0,25,7
4,0,0,1,25,8
4,1,0,1,25,9
4,0,1,1,25,8
4,1,1,1,25,10
4,0,0,0,75,3
4,1,0,0,75,5
4,0,1,0,75,4
4,1,1,0,75,6
4,0,0,1,75,7
4,1,0,1,75,6
4,0,1,1,75,5
4,1,1,1,75,8
5,0,0,0,25,4
5,1,0,0,25,6
5,0,1,0,25,6
5,1,1,0,25,6
5,0,0,1,25,6
5,1,0,1,25,8
5,0,1,1,25,7
5,1,1,1,25,8
5,0,0,0,75,4
5,1,0,0,75,4
5,0,1,0,75,4
5,1,1,0,75,6
5,0,0,1,75,3
5,1,0,1,75,7
5,0,1,1,75,7
5,1,1,1,75,7
6,0,0,0,25,3
6,1,0,0,25,7
