"hospital_id","hospital_setting","training_hours","bed_count","safety_score"
1,"Urban",22.7,115,53
2,"Rural",28.6,28,73
3,"Rural",14.4,125,56.5
4,"Rural",16.4,188,64.2
5,"Rural",12.3,179,70.7
6,"Rural",17.8,153,65.1
7,"Urban",32.5,176,71
8,"Urban",19.1,137,53.4
9,"Rural",15.4,287,53.2
10,"Rural",42.5,115,76.9
11,"Urban",19.9,54,66.9
12,"Urban",17.4,212,52.8
13,"Rural",55.1,135,93.3
14,"Urban",35.2,180,74.3
15,"Rural",16.3,162,59.9
16,"Urban",15,188,57.1
17,"Urban",24.3,151,77.2
18,"Urban",35,122,69.4
19,"Urban",16.8,221,62.8
20,"Urban",38.1,191,65.8
21,"Rural",26.6,169,71.1
22,"Rural",54.9,128,90.5
23,"Urban",42.6,206,75.6
24,"Urban",32.8,134,69
25,"Rural",58.7,144,92.2
26,"Urban",49.3,37,69
27,"Urban",17.3,267,62.2
28,"Urban",12,189,61.3
29,"Rural",41.2,117,76
30,"Urban",41.4,115,69.5
31,"Rural",40.8,153,84.3
32,"Rural",34.4,141,82.1
33,"Urban",25,182,67.2
34,"Urban",55.5,67,81
35,"Rural",46.4,228,81.7
36,"Urban",13.6,172,59
37,"Rural",31.3,263,82
38,"Urban",48.9,195,72.7
39,"Urban",54.8,165,74.2
40,"Rural",27,86,78.3
41,"Urban",51.7,88,74.1
42,"Rural",35.6,288,81.9
43,"Urban",37.9,124,70.4
44,"Rural",34.4,204,72.1
45,"Rural",10.4,258,68
46,"Urban",39.7,161,73.3
47,"Urban",57.1,175,62.8
48,"Urban",23.5,167,59.2
49,"Rural",46.3,112,83.5
50,"Urban",40.7,178,70
51,"Urban",35.8,297,77.8
52,"Urban",42.6,201,69.5
53,"Rural",40,77,83.4
54,"Rural",30.4,175,77.9
55,"Urban",12.1,213,58.1
56,"Rural",27.2,152,67.6
57,"Urban",30.1,102,69
58,"Rural",58.9,174,99.5
59,"Rural",13.4,108,63.3
60,"Urban",16.2,99,63.3
61,"Urban",10.9,256,60.4
62,"Urban",29.7,223,61.8
63,"Urban",25.3,211,70.5
64,"Rural",46.1,77,76.3
65,"Rural",54.1,242,93.2
66,"Urban",38.3,183,65.9
67,"Rural",18.5,115,61.7
68,"Urban",55.1,262,76.9
69,"Rural",40.6,225,92.8
70,"Rural",43.5,222,82.7
71,"Urban",38.6,71,59.6
72,"Rural",48.3,49,79.7
73,"Urban",55.7,147,71.5
74,"Rural",51.5,107,86.4
75,"Rural",33.8,88,75.6
76,"Rural",13.3,20,60.5
77,"Rural",25.7,302,77.2
78,"Urban",33.6,191,60
79,"Urban",17.9,97,63.9
80,"Urban",46.9,279,74.5
81,"Rural",12.1,134,60.6
82,"Urban",57.2,161,79.7
83,"Urban",11.9,184,58.8
84,"Rural",11.3,178,71
85,"Rural",13.8,199,51.8
86,"Rural",18.1,169,66.3
87,"Rural",13.6,152,58.4
88,"Rural",51.9,102,87.4
89,"Rural",57.8,20,85.7
90,"Rural",51.9,102,98
91,"Urban",15.4,193,64.9
92,"Rural",25.1,203,64.5
93,"Urban",51.8,172,69.4
94,"Urban",12.6,85,58.3
95,"Urban",41.2,241,73.1
96,"Urban",18.2,275,64.2
97,"Rural",15.2,98,63.3
98,"Rural",56.4,264,86.7
99,"Rural",26.9,193,78
100,"Urban",10.6,20,52.5
101,"Urban",35.4,159,70.7
102,"Urban",28.7,27,50.8
103,"Rural",45.8,148,79.3
104,"Urban",45.6,107,70.7
105,"Urban",15.3,83,68.7
106,"Urban",32.4,237,75.1
107,"Rural",19.4,163,57.3
108,"Rural",34.2,20,71.3
109,"Urban",28.2,117,60.3
110,"Urban",57.4,194,71.6
111,"Urban",39.2,188,70.1
112,"Rural",27.6,124,70.6
113,"Rural",55.5,205,96.2
114,"Rural",39.8,236,87.3
115,"Rural",50.5,147,82.5
116,"Rural",26.2,167,71.1
117,"Rural",25.3,187,66.6
118,"Rural",44.7,250,88.8
119,"Urban",36.6,155,53.1
120,"Rural",27.3,216,71.2
121,"Rural",56.7,242,100
122,"Rural",41.7,218,84.3
