"choice_set","alternative","appt_1week","travel_10min","portal_full","copay","choice"
"100_1","A",0,0,1,30,0
"100_1","B",1,1,0,60,1
"100_10","A",0,0,0,30,0
"100_10","B",1,1,0,60,1
"100_2","A",0,0,1,30,1
"100_2","B",1,0,0,30,0
"100_3","A",0,0,0,30,0
"100_3","B",1,0,1,30,1
"100_4","A",1,1,1,60,1
"100_4","B",0,1,0,60,0
"100_5","A",0,0,1,60,0
"100_5","B",1,0,1,60,1
"100_6","A",1,0,0,30,1
"100_6","B",0,1,0,30,0
"100_7","A",1,1,1,30,1
"100_7","B",1,0,1,30,0
"100_8","A",1,0,1,30,1
"100_8","B",1,1,1,60,0
"100_9","A",1,0,0,60,0
"100_9","B",0,1,1,30,1
"10_1","A",1,0,0,30,1
"10_1","B",1,0,0,60,0
"10_10","A",0,1,0,30,0
"10_10","B",1,0,1,30,1
"10_2","A",1,1,1,30,1
"10_2","B",1,0,1,30,0
"10_3","A",1,0,0,60,0
"10_3","B",0,1,0,30,1
"10_4","A",1,0,1,30,1
"10_4","B",1,0,0,30,0
"10_5","A",0,1,0,60,0
"10_5","B",1,0,1,30,1
"10_6","A",0,0,1,30,1
"10_6","B",0,0,0,60,0
"10_7","A",1,0,1,60,1
"10_7","B",0,0,1,60,0
"10_8","A",1,0,1,30,0
"10_8","B",0,1,1,30,1
"10_9","A",1,0,1,60,1
"10_9","B",0,0,0,30,0
"11_1","A",0,1,0,30,1
"11_1","B",0,1,1,30,0
"11_10","A",1,1,1,60,0
"11_10","B",1,0,1,30,1
"11_2","A",1,1,0,30,1
"11_2","B",0,0,1,30,0
"11_3","A",0,1,1,60,1
"11_3","B",0,0,0,30,0
"11_4","A",1,1,1,30,1
"11_4","B",0,0,0,30,0
"11_5","A",0,1,1,60,0
"11_5","B",1,1,0,60,1
"11_6","A",0,1,0,30,1
"11_6","B",0,0,0,60,0
"11_7","A",0,1,0,60,1
"11_7","B",0,0,0,60,0
"11_8","A",0,0,1,30,0
"11_8","B",0,1,0,30,1
"11_9","A",1,1,1,60,1
"11_9","B",0,0,0,30,0
"12_1","A",0,1,1,30,0
"12_1","B",1,1,0,30,1
"12_10","A",1,1,0,60,1
"12_10","B",0,1,0,60,0
"12_2","A",1,1,1,30,1
"12_2","B",0,1,0,60,0
"12_3","A",0,0,1,60,0
"12_3","B",1,1,1,60,1
"12_4","A",0,0,0,30,0
"12_4","B",1,1,1,60,1
"12_5","A",1,1,0,30,1
"12_5","B",0,1,1,30,0
"12_6","A",0,1,1,30,1
"12_6","B",0,0,0,30,0
"12_7","A",1,1,0,30,1
"12_7","B",0,1,0,60,0
"12_8","A",0,1,0,30,0
"12_8","B",1,0,1,30,1
"12_9","A",0,0,0,60,0
"12_9","B",0,1,0,60,1
"13_1","A",0,1,1,60,1
"13_1","B",0,1,1,30,0
"13_10","A",0,1,1,30,1
"13_10","B",1,0,1,60,0
"13_2","A",1,1,0,60,1
"13_2","B",0,1,0,60,0
"13_3","A",1,1,0,60,0
"13_3","B",1,0,1,60,1
"13_4","A",0,0,1,60,0
"13_4","B",0,0,0,30,1
"13_5","A",0,1,0,30,1
"13_5","B",0,0,1,60,0
"13_6","A",0,0,1,30,1
"13_6","B",1,0,1,60,0
"13_7","A",0,0,0,30,1
"13_7","B",1,0,0,60,0
"13_8","A",1,1,1,30,1
"13_8","B",0,0,1,30,0
"13_9","A",0,0,0,60,0
"13_9","B",0,1,0,60,1
"14_1","A",1,0,0,60,0
"14_1","B",1,1,0,60,1
"14_10","A",0,0,1,60,0
"14_10","B",1,0,0,60,1
"14_2","A",1,0,1,60,0
"14_2","B",1,1,1,60,1
"14_3","A",0,1,0,60,0
"14_3","B",0,1,0,30,1
"14_4","A",1,0,0,30,0
"14_4","B",1,1,0,30,1
"14_5","A",0,1,0,30,1
"14_5","B",1,0,1,60,0
"14_6","A",0,0,0,30,1
"14_6","B",0,0,0,60,0
"14_7","A",1,1,0,60,0
"14_7","B",1,1,1,30,1
"14_8","A",1,1,0,30,0
"14_8","B",1,1,1,30,1
"14_9","A",0,1,0,60,0
"14_9","B",0,0,0,30,1
"15_1","A",0,0,1,30,1
"15_1","B",0,0,0,30,0
"15_10","A",0,1,1,60,0
"15_10","B",1,1,1,30,1
"15_2","A",1,1,0,60,1
"15_2","B",0,0,0,30,0
"15_3","A",1,0,1,30,0
"15_3","B",1,1,1,30,1
"15_4","A",1,1,0,30,1
"15_4","B",0,1,1,60,0
"15_5","A",0,1,1,30,1
"15_5","B",1,1,0,60,0
"15_6","A",0,1,1,60,0
"15_6","B",1,0,1,30,1
"15_7","A",1,0,1,60,1
"15_7","B",0,0,1,60,0
"15_8","A",1,0,1,60,0
"15_8","B",1,1,0,30,1
"15_9","A",1,0,1,60,1
"15_9","B",0,1,1,60,0
"16_1","A",0,0,0,30,0
"16_1","B",1,0,0,30,1
"16_10","A",1,0,0,30,0
"16_10","B",1,0,1,60,1
"16_2","A",0,1,1,60,0
"16_2","B",1,1,0,60,1
"16_3","A",0,1,1,30,1
"16_3","B",1,0,1,30,0
"16_4","A",1,1,1,60,1
"16_4","B",1,0,1,60,0
"16_5","A",1,1,0,60,0
"16_5","B",1,1,1,30,1
"16_6","A",0,1,1,30,1
"16_6","B",0,0,1,30,0
"16_7","A",0,1,1,60,1
"16_7","B",0,0,1,60,0
"16_8","A",0,1,1,30,1
"16_8","B",0,1,0,30,0
"16_9","A",1,0,1,60,0
"16_9","B",1,1,0,30,1
"17_1","A",0,0,0,30,0
"17_1","B",1,1,1,30,1
"17_10","A",1,1,0,60,1
"17_10","B",0,0,0,60,0
"17_2","A",0,0,0,60,0
"17_2","B",1,0,0,30,1
"17_3","A",0,0,0,60,0
"17_3","B",0,0,1,60,1
"17_4","A",1,1,1,30,1
"17_4","B",0,1,1,30,0
"17_5","A",0,0,1,60,0
"17_5","B",1,0,1,60,1
"17_6","A",0,0,0,60,0
"17_6","B",0,1,0,30,1
"17_7","A",0,1,0,60,0
"17_7","B",1,0,1,60,1
"17_8","A",1,0,1,60,0
"17_8","B",0,1,1,30,1
"17_9","A",1,1,0,60,0
"17_9","B",0,0,1,30,1
"18_1","A",0,0,0,60,0
"18_1","B",0,1,1,30,1
"18_10","A",1,1,1,60,1
"18_10","B",1,0,0,60,0
"18_2","A",0,1,1,60,0
"18_2","B",1,0,1,60,1
"18_3","A",0,1,0,60,0
"18_3","B",1,1,0,30,1
"18_4","A",1,1,1,30,1
"18_4","B",1,0,1,30,0
"18_5","A",1,1,1,60,1
"18_5","B",1,0,0,30,0
"18_6","A",0,0,0,60,0
"18_6","B",0,0,0,30,1
"18_7","A",1,0,0,60,0
"18_7","B",0,0,1,60,1
"18_8","A",1,0,0,60,1
"18_8","B",0,0,0,60,0
"18_9","A",1,0,0,60,0
"18_9","B",0,1,1,60,1
"19_1","A",0,0,1,60,0
"19_1","B",1,1,0,30,1
"19_10","A",0,0,1,30,0
"19_10","B",1,1,1,60,1
"19_2","A",1,0,1,30,1
"19_2","B",0,0,1,30,0
"19_3","A",0,0,1,60,0
"19_3","B",0,1,1,30,1
"19_4","A",0,0,1,30,0
"19_4","B",1,0,1,60,1
"19_5","A",0,0,0,30,1
