"respondent_id","profile_id","wait_15min","hours_extended","provider_md","visit_cost","rating"
1,1,1,1,1,75,7.7
1,2,0,1,1,75,4.4
1,3,1,0,1,75,6.8
1,4,0,0,1,75,4.5
1,5,1,1,0,75,7.1
1,6,0,1,0,75,3.1
1,7,1,0,0,75,4.7
1,8,0,0,0,75,3.2
1,9,1,1,1,150,5.5
1,10,0,1,1,150,3.5
1,11,1,0,1,150,4.2
1,12,0,0,1,150,3
1,13,1,1,0,150,5.5
1,14,0,1,0,150,4.3
1,15,1,0,0,150,4.3
1,16,0,0,0,150,1.1
2,1,1,1,1,75,5.7
2,2,0,1,1,75,6.1
2,3,1,0,1,75,5.5
2,4,0,0,1,75,4.3
2,5,1,1,0,75,6.6
2,6,0,1,0,75,5
2,7,1,0,0,75,5
2,8,0,0,0,75,3.2
2,9,1,1,1,150,5.7
2,10,0,1,1,150,2.9
2,11,1,0,1,150,4.1
2,12,0,0,1,150,2
2,13,1,1,0,150,3.9
2,14,0,1,0,150,3.1
2,15,1,0,0,150,4.2
2,16,0,0,0,150,2.1
3,1,1,1,1,75,7.1
3,2,0,1,1,75,4.9
3,3,1,0,1,75,5.7
3,4,0,0,1,75,2.7
3,5,1,1,0,75,7.3
3,6,0,1,0,75,5.7
3,7,1,0,0,75,6
3,8,0,0,0,75,4
3,9,1,1,1,150,5.4
3,10,0,1,1,150,3.2
3,11,1,0,1,150,4.5
3,12,0,0,1,150,2.1
3,13,1,1,0,150,5.4
3,14,0,1,0,150,3.3
3,15,1,0,0,150,3.8
3,16,0,0,0,150,1.8
4,1,1,1,1,75,7
4,2,0,1,1,75,5.6
4,3,1,0,1,75,6.9
4,4,0,0,1,75,2.9
4,5,1,1,0,75,5.8
4,6,0,1,0,75,5.9
4,7,1,0,0,75,5.2
4,8,0,0,0,75,4.8
4,9,1,1,1,150,4.7
4,10,0,1,1,150,4.4
4,11,1,0,1,150,3.6
4,12,0,0,1,150,1.8
4,13,1,1,0,150,5
4,14,0,1,0,150,2.8
4,15,1,0,0,150,2.9
4,16,0,0,0,150,1.1
5,1,1,1,1,75,7
5,2,0,1,1,75,4.1
5,3,1,0,1,75,6.6
5,4,0,0,1,75,5
5,5,1,1,0,75,5.3
5,6,0,1,0,75,3.1
5,7,1,0,0,75,3.5
5,8,0,0,0,75,4.1
5,9,1,1,1,150,4.4
5,10,0,1,1,150,4.3
5,11,1,0,1,150,4.1
5,12,0,0,1,150,1.4
5,13,1,1,0,150,4.1
5,14,0,1,0,150,3
5,15,1,0,0,150,5.4
5,16,0,0,0,150,2.3
6,1,1,1,1,75,5.5
6,2,0,1,1,75,4.6
6,3,1,0,1,75,4.8
6,4,0,0,1,75,3.1
6,5,1,1,0,75,6.9
6,6,0,1,0,75,4.2
6,7,1,0,0,75,6.2
6,8,0,0,0,75,3.7
6,9,1,1,1,150,5.3
6,10,0,1,1,150,4.8
6,11,1,0,1,150,3.9
6,12,0,0,1,150,2.8
6,13,1,1,0,150,7.5
6,14,0,1,0,150,2.7
6,15,1,0,0,150,5.2
6,16,0,0,0,150,1
7,1,1,1,1,75,7
7,2,0,1,1,75,4.6
7,3,1,0,1,75,4.6
7,4,0,0,1,75,3.5
7,5,1,1,0,75,8.2
7,6,0,1,0,75,4.3
7,7,1,0,0,75,4.8
7,8,0,0,0,75,4.3
7,9,1,1,1,150,4.7
7,10,0,1,1,150,3.7
7,11,1,0,1,150,4.5
7,12,0,0,1,150,2.2
7,13,1,1,0,150,4.5
7,14,0,1,0,150,4.3
7,15,1,0,0,150,3.7
7,16,0,0,0,150,3.7
8,1,1,1,1,75,6.6
8,2,0,1,1,75,4.8
8,3,1,0,1,75,5.3
8,4,0,0,1,75,1.7
8,5,1,1,0,75,4.8
8,6,0,1,0,75,4.4
8,7,1,0,0,75,4.7
8,8,0,0,0,75,4.7
8,9,1,1,1,150,5.6
8,10,0,1,1,150,3.1
8,11,1,0,1,150,5.1
8,12,0,0,1,150,1.9
8,13,1,1,0,150,4.9
8,14,0,1,0,150,3.5
8,15,1,0,0,150,3.8
8,16,0,0,0,150,1.8
9,1,1,1,1,75,6.6
9,2,0,1,1,75,4.7
9,3,1,0,1,75,7
9,4,0,0,1,75,4
9,5,1,1,0,75,5.6
9,6,0,1,0,75,4.1
9,7,1,0,0,75,4.5
9,8,0,0,0,75,3.8
9,9,1,1,1,150,5.1
9,10,0,1,1,150,3.7
9,11,1,0,1,150,4.5
9,12,0,0,1,150,1
9,13,1,1,0,150,4.1
9,14,0,1,0,150,4.7
9,15,1,0,0,150,4
9,16,0,0,0,150,1.9
10,1,1,1,1,75,7.2
10,2,0,1,1,75,5.4
10,3,1,0,1,75,4.7
10,4,0,0,1,75,4
10,5,1,1,0,75,6.9
10,6,0,1,0,75,4.7
10,7,1,0,0,75,5.1
10,8,0,0,0,75,3.3
10,9,1,1,1,150,4.5
10,10,0,1,1,150,3.2
10,11,1,0,1,150,4.6
10,12,0,0,1,150,2
10,13,1,1,0,150,4.8
10,14,0,1,0,150,3.2
10,15,1,0,0,150,4.6
10,16,0,0,0,150,1
11,1,1,1,1,75,6.9
11,2,0,1,1,75,5.8
11,3,1,0,1,75,6.1
11,4,0,0,1,75,2.5
11,5,1,1,0,75,6.2
11,6,0,1,0,75,5.5
11,7,1,0,0,75,4.5
11,8,0,0,0,75,3.6
11,9,1,1,1,150,4.7
11,10,0,1,1,150,4.3
11,11,1,0,1,150,5.2
11,12,0,0,1,150,2.7
