"","nurse_id","schedule","burnout"
"1","1","A: 8-hour",32
"2","2","A: 8-hour",35
"3","3","A: 8-hour",28
"4","4","A: 8-hour",38
"5","5","A: 8-hour",30
"6","6","A: 8-hour",36
"7","7","A: 8-hour",33
"8","8","A: 8-hour",29
"9","9","A: 8-hour",37
"10","10","A: 8-hour",31
"11","11","A: 8-hour",34
"12","12","A: 8-hour",27
"13","13","A: 8-hour",39
"14","14","A: 8-hour",32
"15","15","A: 8-hour",35
"16","16","A: 8-hour",30
"17","17","A: 8-hour",36
"18","18","A: 8-hour",28
"19","19","A: 8-hour",34
"20","20","A: 8-hour",31
"21","1","B: 12-hour",38
"22","2","B: 12-hour",42
"23","3","B: 12-hour",35
"24","4","B: 12-hour",44
"25","5","B: 12-hour",37
"26","6","B: 12-hour",41
"27","7","B: 12-hour",39
"28","8","B: 12-hour",36
"29","9","B: 12-hour",43
"30","10","B: 12-hour",38
"31","11","B: 12-hour",40
"32","12","B: 12-hour",34
"33","13","B: 12-hour",45
"34","14","B: 12-hour",39
"35","15","B: 12-hour",42
"36","16","B: 12-hour",37
"37","17","B: 12-hour",43
"38","18","B: 12-hour",35
"39","19","B: 12-hour",41
"40","20","B: 12-hour",38
"41","1","C: Flexible",25
"42","2","C: Flexible",28
"43","3","C: Flexible",22
"44","4","C: Flexible",30
"45","5","C: Flexible",24
"46","6","C: Flexible",29
"47","7","C: Flexible",26
"48","8","C: Flexible",23
"49","9","C: Flexible",31
"50","10","C: Flexible",25
"51","11","C: Flexible",27
"52","12","C: Flexible",21
"53","13","C: Flexible",32
"54","14","C: Flexible",26
"55","15","C: Flexible",29
"56","16","C: Flexible",24
"57","17","C: Flexible",30
"58","18","C: Flexible",22
"59","19","C: Flexible",28
"60","20","C: Flexible",25
