"","cost","hospital_type"
"1",15200,"Academic Medical"
"2",16500,"Academic Medical"
"3",14800,"Academic Medical"
"4",15900,"Academic Medical"
"5",16200,"Academic Medical"
"6",15100,"Academic Medical"
"7",16800,"Academic Medical"
"8",15500,"Academic Medical"
"9",16100,"Academic Medical"
"10",15700,"Academic Medical"
"11",14900,"Academic Medical"
"12",16400,"Academic Medical"
"13",15300,"Academic Medical"
"14",16000,"Academic Medical"
"15",15800,"Academic Medical"
"16",11500,"Community"
"17",12200,"Community"
"18",10800,"Community"
"19",11900,"Community"
"20",12500,"Community"
"21",11200,"Community"
"22",10500,"Community"
"23",12100,"Community"
"24",11700,"Community"
"25",10900,"Community"
"26",12300,"Community"
"27",11400,"Community"
"28",10700,"Community"
"29",12000,"Community"
"30",11600,"Community"
"31",13800,"Critical Access"
"32",14500,"Critical Access"
"33",13200,"Critical Access"
"34",14200,"Critical Access"
"35",14800,"Critical Access"
"36",13500,"Critical Access"
"37",13000,"Critical Access"
"38",14600,"Critical Access"
"39",14100,"Critical Access"
"40",13700,"Critical Access"
"41",14400,"Critical Access"
"42",13300,"Critical Access"
"43",14700,"Critical Access"
"44",13900,"Critical Access"
"45",14300,"Critical Access"
"46",18500,"Specialty"
"47",19200,"Specialty"
"48",17800,"Specialty"
"49",18900,"Specialty"
"50",19500,"Specialty"
"51",18200,"Specialty"
"52",17500,"Specialty"
"53",19100,"Specialty"
"54",18700,"Specialty"
"55",17900,"Specialty"
"56",19300,"Specialty"
"57",18400,"Specialty"
"58",17700,"Specialty"
"59",19000,"Specialty"
"60",18600,"Specialty"
