"","rate","model"
"1",12.5,"Model A: Nurse Phone"
"2",14.2,"Model A: Nurse Phone"
"3",11.8,"Model A: Nurse Phone"
"4",13.6,"Model A: Nurse Phone"
"5",12.9,"Model A: Nurse Phone"
"6",14.8,"Model A: Nurse Phone"
"7",11.5,"Model A: Nurse Phone"
"8",13.2,"Model A: Nurse Phone"
"9",12.7,"Model A: Nurse Phone"
"10",14.1,"Model A: Nurse Phone"
"11",13.4,"Model A: Nurse Phone"
"12",12.2,"Model A: Nurse Phone"
"13",14.5,"Model A: Nurse Phone"
"14",11.9,"Model A: Nurse Phone"
"15",13.8,"Model A: Nurse Phone"
"16",12.4,"Model A: Nurse Phone"
"17",14.3,"Model A: Nurse Phone"
"18",13.1,"Model A: Nurse Phone"
"19",12.6,"Model A: Nurse Phone"
"20",13.9,"Model A: Nurse Phone"
"21",10.2,"Model B: CHW Visits"
"22",11.5,"Model B: CHW Visits"
"23",9.8,"Model B: CHW Visits"
"24",10.9,"Model B: CHW Visits"
"25",11.2,"Model B: CHW Visits"
"26",10.5,"Model B: CHW Visits"
"27",9.6,"Model B: CHW Visits"
"28",11.8,"Model B: CHW Visits"
"29",10.3,"Model B: CHW Visits"
"30",11.1,"Model B: CHW Visits"
"31",10.7,"Model B: CHW Visits"
"32",9.9,"Model B: CHW Visits"
"33",11.4,"Model B: CHW Visits"
"34",10.1,"Model B: CHW Visits"
"35",10.8,"Model B: CHW Visits"
"36",11.6,"Model B: CHW Visits"
"37",9.7,"Model B: CHW Visits"
"38",10.6,"Model B: CHW Visits"
"39",11.3,"Model B: CHW Visits"
"40",10.4,"Model B: CHW Visits"
"41",8.5,"Model C: Integrated"
"42",9.2,"Model C: Integrated"
"43",7.8,"Model C: Integrated"
"44",8.9,"Model C: Integrated"
"45",9.5,"Model C: Integrated"
"46",8.2,"Model C: Integrated"
"47",7.6,"Model C: Integrated"
"48",9.1,"Model C: Integrated"
"49",8.6,"Model C: Integrated"
"50",8.8,"Model C: Integrated"
"51",9.3,"Model C: Integrated"
"52",8.1,"Model C: Integrated"
"53",8.7,"Model C: Integrated"
"54",7.9,"Model C: Integrated"
"55",9.4,"Model C: Integrated"
"56",8.3,"Model C: Integrated"
"57",7.7,"Model C: Integrated"
"58",9,"Model C: Integrated"
"59",8.4,"Model C: Integrated"
"60",8.9,"Model C: Integrated"
