"","score","department"
"1",7.7,"Emergency"
"2",6.7,"Emergency"
"3",7.9,"Emergency"
"4",7.2,"Emergency"
"5",8.1,"Emergency"
"6",7.5,"Emergency"
"7",7.3,"Emergency"
"8",7.4,"Emergency"
"9",7,"Emergency"
"10",7.6,"Emergency"
"11",7.9,"Emergency"
"12",7.7,"Emergency"
"13",7.7,"Emergency"
"14",7.9,"Emergency"
"15",7.1,"Emergency"
"16",7.5,"Emergency"
"17",7.7,"Emergency"
"18",7.9,"Emergency"
"19",7.2,"Emergency"
"20",7.2,"Emergency"
"21",8.1,"Cardiology"
"22",8.5,"Cardiology"
"23",7.9,"Cardiology"
"24",6.3,"Cardiology"
"25",8.3,"Cardiology"
"26",8,"Cardiology"
"27",8.4,"Cardiology"
"28",8.2,"Cardiology"
"29",7.8,"Cardiology"
"30",8.5,"Cardiology"
"31",7.6,"Cardiology"
"32",8.1,"Cardiology"
"33",8.4,"Cardiology"
"34",7.9,"Cardiology"
"35",8,"Cardiology"
"36",8.2,"Cardiology"
"37",8,"Cardiology"
"38",8.3,"Cardiology"
"39",8.5,"Cardiology"
"40",6.8,"Cardiology"
"41",7.8,"Orthopedics"
"42",8,"Orthopedics"
"43",7.5,"Orthopedics"
"44",7.9,"Orthopedics"
"45",8.2,"Orthopedics"
"46",7.6,"Orthopedics"
"47",7.7,"Orthopedics"
"48",8.1,"Orthopedics"
"49",7.4,"Orthopedics"
"50",7.8,"Orthopedics"
"51",8,"Orthopedics"
"52",7.6,"Orthopedics"
"53",7.9,"Orthopedics"
"54",7.5,"Orthopedics"
"55",7.8,"Orthopedics"
"56",8.1,"Orthopedics"
"57",6.7,"Orthopedics"
"58",7.9,"Orthopedics"
"59",7.6,"Orthopedics"
"60",8,"Orthopedics"
"61",8.4,"Oncology"
"62",8.8,"Oncology"
"63",8.2,"Oncology"
"64",7.6,"Oncology"
"65",8.9,"Oncology"
"66",6.3,"Oncology"
"67",8.7,"Oncology"
"68",6.5,"Oncology"
"69",8.1,"Oncology"
"70",8.6,"Oncology"
"71",8.8,"Oncology"
"72",8.4,"Oncology"
"73",6.7,"Oncology"
"74",8.2,"Oncology"
"75",8.5,"Oncology"
"76",7.9,"Oncology"
"77",8.3,"Oncology"
"78",8.6,"Oncology"
"79",8.4,"Oncology"
"80",8.7,"Oncology"
