"","score","program"
"1",78,"Traditional"
"2",82,"Traditional"
"3",75,"Traditional"
"4",80,"Traditional"
"5",77,"Traditional"
"6",83,"Traditional"
"7",79,"Traditional"
"8",81,"Traditional"
"9",76,"Traditional"
"10",80,"Traditional"
"11",82,"Traditional"
"12",78,"Traditional"
"13",84,"Traditional"
"14",77,"Traditional"
"15",79,"Traditional"
"16",81,"Traditional"
"17",75,"Traditional"
"18",83,"Traditional"
"19",78,"Traditional"
"20",80,"Traditional"
"21",85,"Simulation"
"22",88,"Simulation"
"23",82,"Simulation"
"24",87,"Simulation"
"25",89,"Simulation"
"26",84,"Simulation"
"27",86,"Simulation"
"28",90,"Simulation"
"29",83,"Simulation"
"30",88,"Simulation"
"31",87,"Simulation"
"32",85,"Simulation"
"33",89,"Simulation"
"34",84,"Simulation"
"35",86,"Simulation"
"36",88,"Simulation"
"37",82,"Simulation"
"38",87,"Simulation"
"39",85,"Simulation"
"40",86,"Simulation"
"41",88,"Blended"
"42",92,"Blended"
"43",86,"Blended"
"44",90,"Blended"
"45",93,"Blended"
"46",87,"Blended"
"47",89,"Blended"
"48",91,"Blended"
"49",85,"Blended"
"50",90,"Blended"
"51",92,"Blended"
"52",88,"Blended"
"53",91,"Blended"
"54",86,"Blended"
"55",89,"Blended"
"56",93,"Blended"
"57",87,"Blended"
"58",90,"Blended"
"59",88,"Blended"
"60",91,"Blended"
