"","method","experience","subject","score"
"1","Lecture","Novice",1,75.0685649514768
"2","Simulation","Novice",1,80.2292684107967
"3","Lecture","Intermediate",1,75.6445423919937
"4","Simulation","Intermediate",1,79.5176469665884
"5","Lecture","Expert",1,94.6122451274472
"6","Simulation","Expert",1,75.514581725481
"7","Lecture","Novice",2,71.1226730834311
"8","Simulation","Novice",2,79.5444885227254
"9","Lecture","Intermediate",2,76.6896347547758
"10","Simulation","Intermediate",2,78.5791359363938
"11","Lecture","Expert",2,91.1237362974674
"12","Simulation","Expert",2,81.4346806871417
"13","Lecture","Novice",3,72.3047160698939
"14","Simulation","Novice",3,86.2622306092529
"15","Lecture","Intermediate",3,86.646585651317
"16","Simulation","Intermediate",3,80.2818259282092
"17","Lecture","Expert",3,77.8590991216273
"18","Simulation","Expert",3,76.8346634211064
"19","Lecture","Novice",4,64.8962417058354
"20","Simulation","Novice",4,80.816178327041
"21","Lecture","Intermediate",4,82.6054916216935
"22","Simulation","Intermediate",4,77.7244485298739
"23","Lecture","Expert",4,84.7768546398999
"24","Simulation","Expert",4,80.9703754473665
"25","Lecture","Novice",5,70.803033349329
"26","Simulation","Novice",5,81.0274988337997
"27","Lecture","Intermediate",5,79.6499247076899
"28","Simulation","Intermediate",5,81.9926612374352
"29","Lecture","Expert",5,89.4707164584921
"30","Simulation","Expert",5,76.7175885232412
"31","Lecture","Novice",6,70.9552660708575
"32","Simulation","Novice",6,72.9268346973402
"33","Lecture","Intermediate",6,80.4561641602099
"34","Simulation","Intermediate",6,81.6145432239997
"35","Lecture","Expert",6,96.2063173067972
"36","Simulation","Expert",6,80.05297994886
"37","Lecture","Novice",7,68.4416847577866
"38","Simulation","Novice",7,86.7830544851496
"39","Lecture","Intermediate",7,80.9332380545324
"40","Simulation","Intermediate",7,79.9819532338334
"41","Lecture","Expert",7,87.9151380016199
"42","Simulation","Expert",7,79.5540069319263
"43","Lecture","Novice",8,63.7194917201869
"44","Simulation","Novice",8,86.9442482679074
"45","Lecture","Intermediate",8,75.8407596210583
"46","Simulation","Intermediate",8,78.8150843413757
"47","Lecture","Expert",8,90.7528752133986
"48","Simulation","Expert",8,77.4039707850885
"49","Lecture","Novice",9,67.586060588602
"50","Simulation","Novice",9,88.1181361623817
"51","Lecture","Intermediate",9,75.4614541662047
"52","Simulation","Intermediate",9,79.0925816436091
"53","Lecture","Expert",9,94.0043363709312
"54","Simulation","Expert",9,77.6301460704855
"55","Lecture","Novice",10,65.7850897759541
"56","Simulation","Novice",10,83.0305074827958
"57","Lecture","Intermediate",10,80.4524870346098
"58","Simulation","Intermediate",10,77.3908505328897
"59","Lecture","Expert",10,87.4468758836524
"60","Simulation","Expert",10,78.5054479925232
"61","Lecture","Novice",11,64.1411791344665
"62","Simulation","Novice",11,82.0761727360613
"63","Lecture","Intermediate",11,84.7667694127963
"64","Simulation","Intermediate",11,83.5432362858967
"65","Lecture","Expert",11,85.0802794180699
"66","Simulation","Expert",11,80.407538732392
"67","Lecture","Novice",12,67.0106764269592
"68","Simulation","Novice",12,81.3456326731067
"69","Lecture","Intermediate",12,81.489442240833
"70","Simulation","Intermediate",12,82.4237528555333
"71","Lecture","Expert",12,91.7089632504513
"72","Simulation","Expert",12,80.8321777466048
