"","nurse_id","task","period","nurse_effect","fixed","performance"
"1",1,"Documentation","Beginning",-2.97867109520692,90,85.1094036335094
"2",2,"Documentation","Beginning",-5.93565557514815,90,82.9301528389933
"3",3,"Documentation","Beginning",-5.10500504589153,90,83.6251989499982
"4",4,"Documentation","Beginning",-1.5120873436749,90,87.8249803747699
"5",5,"Documentation","Beginning",-5.79746260249607,90,80.4162781294609
"6",6,"Documentation","Beginning",1.16181740694657,90,91.7847712265495
"7",7,"Documentation","Beginning",-3.1647830760283,90,88.8742434563481
"8",8,"Documentation","Beginning",3.82500734791764,90,96.5696078576774
"9",9,"Documentation","Beginning",3.62727552632861,90,88.3660215928016
"10",10,"Documentation","Beginning",0.750390424746719,90,87.9930718498794
"11",11,"Documentation","Beginning",1.27720442061226,90,95.2607882389957
"12",12,"Documentation","Beginning",0.885300628972144,90,96.7302382343208
"13",13,"Documentation","Beginning",-1.21248979112697,90,86.8252629399875
"14",14,"Documentation","Beginning",-1.60365673658625,90,88.5088427915145
"15",15,"Documentation","Beginning",1.23968235151703,90,88.9039000127425
"16",1,"Patient Care","Beginning",-2.97867109520692,88,78.501977026051
"17",2,"Patient Care","Beginning",-5.93565557514815,88,83.7598084197173
"18",3,"Patient Care","Beginning",-5.10500504589153,88,80.1878969586989
"19",4,"Patient Care","Beginning",-1.5120873436749,88,87.8547860766683
"20",5,"Patient Care","Beginning",-5.79746260249607,88,86.268863016417
"21",6,"Patient Care","Beginning",1.16181740694657,88,87.5710688477659
"22",7,"Patient Care","Beginning",-3.1647830760283,88,88.9497460713862
"23",8,"Patient Care","Beginning",3.82500734791764,88,90.3118027477335
"24",9,"Patient Care","Beginning",3.62727552632861,88,96.6981271293565
"25",10,"Patient Care","Beginning",0.750390424746719,88,91.2511171185494
"26",11,"Patient Care","Beginning",1.27720442061226,88,89.654139974439
"27",12,"Patient Care","Beginning",0.885300628972144,88,90.328910284029
"28",13,"Patient Care","Beginning",-1.21248979112697,88,86.6524062449684
