"","unit_id","nursing_hours","satisfaction"
"1",1,9.6,79.2
"2",2,11.1,89
"3",3,8.9,99.4
"4",4,7,73.9
"5",5,9.7,66.8
"6",6,11.2,89.3
"7",7,11.2,85.5
"8",8,9.4,78
"9",9,6.2,67.6
"10",10,6.3,89
"11",11,8,68.2
"12",12,9.6,79.2
"13",13,10.5,80.3
"14",14,6.3,77.6
"15",15,6.6,86
"16",16,7.3,64.6
"17",17,10.8,91.4
"18",18,10.9,100
"19",19,11.1,98.3
"20",20,7.4,70.8
"21",21,7.9,96.9
"22",22,9.2,96.4
"23",23,10.2,87
"24",24,7.3,65
"25",25,9.1,92.7
"26",26,7.7,71.7
"27",27,11,94.5
"28",28,7.1,75.2
"29",29,9.1,83.8
"30",30,9.3,83.7
"31",31,6.3,72.3
"32",32,7.9,85.3
"33",33,6.1,83.7
"34",34,8.5,85.8
"35",35,8.9,100
"36",36,10.3,87.5
"37",37,6.5,63.8
"38",38,10.9,93
"39",39,9.3,84.6
"40",40,9.7,100
"41",41,10.1,98.1
"42",42,7.7,92.5
"43",43,10.5,92.5
"44",44,7.7,87.8
"45",45,6.5,67.2
"46",46,10.4,84.5
"47",47,11.9,96.2
"48",48,7.6,74.7
"49",49,8.3,61.5
"50",50,9.3,97.9
