"","wait_time_minutes","satisfaction_score"
"1",87,50
"2",71,63
"3",25,77
"4",41,77
"5",71,63
"6",13,96
"7",61,72
"8",105,39
"9",38,81
"10",74,52
"11",11,74
"12",86,63
"13",35,64
"14",103,52
"15",27,71
"16",49,85
"17",70,69
"18",10,82
"19",45,80
"20",12,89
"21",48,59
"22",48,69
"23",36,66
"24",17,88
"25",55,62
"26",30,76
"27",55,56
"28",25,70
"29",11,87
"30",76,50
"31",110,45
"32",29,80
"33",90,52
"34",12,82
"35",74,43
"36",57,64
"37",33,59
"38",62,77
"39",93,43
"40",59,68
"41",51,75
"42",106,48
"43",58,80
"44",58,58
"45",19,87
"46",14,75
"47",112,66
"48",42,80
"49",67,60
"50",36,83
"51",117,32
"52",80,73
"53",115,32
"54",107,32
"55",68,62
"56",89,63
"57",91,53
"58",15,76
"59",115,56
"60",32,100
