"","nurse_id","workload","satisfaction"
"1",1,4,3
"2",2,4,1
"3",3,4,2
"4",4,3,2
"5",5,3,3
"6",6,3,4
"7",7,5,1
"8",8,3,3
"9",9,2,4
"10",10,4,2
"11",11,1,5
"12",12,3,4
"13",13,5,1
"14",14,4,2
"15",15,3,4
"16",16,5,2
"17",17,3,2
"18",18,5,1
"19",19,2,3
"20",20,5,2
"21",21,1,5
"22",22,3,2
"23",23,2,3
"24",24,2,3
"25",25,2,5
"26",26,2,5
"27",27,4,2
"28",28,3,4
"29",29,2,3
"30",30,3,3
"31",31,3,2
"32",32,3,3
"33",33,4,3
"34",34,4,1
"35",35,1,5
"36",36,3,4
"37",37,5,1
"38",38,3,2
"39",39,2,5
"40",40,2,5
"41",41,3,3
"42",42,4,2
"43",43,3,2
"44",44,4,3
"45",45,5,1
"46",46,4,3
"47",47,5,2
"48",48,4,1
"49",49,3,3
"50",50,4,2
