"","hospital_id","nurses_per_patient","mortality_rate"
"1",1,1.99,10.1
"2",2,2.46,6.51
"3",3,1.95,11.13
"4",4,2.69,6.06
"5",5,1.33,7.15
"6",6,1.27,9.53
"7",7,3.04,6.83
"8",8,2.48,6.51
"9",9,1.34,8.06
"10",10,3.13,5.36
"11",11,1.4,11.16
"12",12,2.21,4.87
"13",13,1.32,6.49
"14",14,2.53,5.51
"15",15,3.37,7.54
"16",16,2.45,8.93
"17",17,2.72,5.84
"18",18,2.42,7.71
"19",19,2.76,7.97
"20",20,0.82,11.25
"21",21,0.87,11.23
"22",22,2.18,8.37
"23",23,1.75,9.34
"24",24,2.63,5.11
"25",25,3.17,9.47
"26",26,1.75,8.57
"27",27,3.28,6.83
"28",28,3.22,4.16
"29",29,0.86,9.9
"30",30,3.37,7.07
"31",31,0.83,10.73
"32",32,2.03,8.74
"33",33,1.03,8.19
"34",34,3.17,7.03
"35",35,1.03,9.38
"36",36,2.84,4.4
"37",37,2.88,7.75
"38",38,2.52,7.49
"39",39,2.62,6.18
"40",40,2.24,8.38
"41",41,3.4,3.09
"42",42,2.59,10.46
"43",43,2.36,4.21
"44",44,2.16,8.6
"45",45,1.79,8.44
"46",46,3.31,4.27
"47",47,3.36,6.45
"48",48,2.16,7.5
"49",49,2.91,9.05
"50",50,1.73,7.23
"51",51,2.85,8.88
"52",52,2.64,8.08
"53",53,3.12,4.8
"54",54,0.82,10.24
"55",55,1.92,7.18
"56",56,0.89,7.4
"57",57,2.53,10.31
"58",58,2.25,10.3
"59",59,3.12,6.59
"60",60,3.44,3.68
"61",61,0.87,11.2
"62",62,1.75,7.37
"63",63,2.17,8.99
"64",64,1.28,11
"65",65,1.32,9.91
"66",66,1.91,8.46
"67",67,1.3,11.27
"68",68,3.27,7.72
"69",69,1.39,10.13
"70",70,2.89,6.61
"71",71,2.53,8.85
"72",72,3.04,6.83
"73",73,2.13,10.34
"74",74,2.1,6.3
"75",75,1.16,9.79
"76",76,2.89,8.45
"77",77,2.75,6.01
"78",78,3.24,3.58
"79",79,2.65,8.08
"80",80,3.48,4.84
"81",81,2.64,6.51
"82",82,1.21,10.98
"83",83,2.53,10.62
"84",84,1.85,8.74
"85",85,3.2,7.66
"86",86,2.02,5.18
"87",87,1.48,9.47
"88",88,1.63,6.46
"89",89,1.54,6.67
"90",90,1.16,12.02
"91",91,2.88,7.86
"92",92,1.83,9.57
"93",93,2.76,6.23
"94",94,1.63,7.14
"95",95,3.14,6.99
"96",96,2.72,5.41
"97",97,2.14,11.78
"98",98,1.22,9.92
"99",99,2.76,7.51
"100",100,1.69,6.59
