"","hospital_id","wait_time_min","nurse_ratio","facility_age_years","satisfaction_score"
"1",1,47,3.5,28,70
"2",2,47,3.36,37,67.9
"3",3,36,1.83,38,66.1
"4",4,67,3.02,24,58.9
"5",5,20,2.42,9,75.3
"6",6,23,2.02,39,62.9
"7",7,39,3.22,33,61.1
"8",8,48,3.68,11,74.4
"9",9,28,3.77,18,70.9
"10",10,60,3.85,31,71
"11",11,40,2.05,16,73
"12",12,28,2.14,20,68.8
"13",13,30,2.98,35,70.3
"14",14,31,3.81,30,80.5
"15",15,51,3.71,39,65.4
"16",16,29,3.26,13,78.2
"17",17,45,2.79,28,69.3
"18",18,26,1.55,39,71.7
"19",19,45,1.59,32,59.1
"20",20,47,2.86,6,70.2
"21",21,64,3.56,17,62.4
"22",22,43,1.65,28,55.3
"23",23,57,3.33,26,53.3
"24",24,19,2.72,10,73
"25",25,50,3.56,8,71.2
"26",26,45,2.24,20,61.9
"27",27,65,2.7,25,59.8
"28",28,23,2,37,68.5
"29",29,56,3.72,38,68.9
"30",30,39,3.65,21,62.8
"31",31,45,2.92,37,75.2
"32",32,45,2.91,29,66.5
"33",33,49,2.8,21,70.8
"34",34,36,1.52,7,59.2
"35",35,49,2.67,25,72.4
"36",36,51,2.35,5,67.4
"37",37,41,3.97,8,72.5
"38",38,39,3.27,12,69.3
"39",39,75,3.49,6,63
"40",40,28,3.21,33,67.1
"41",41,41,1.52,30,58.7
"42",42,54,2.43,6,57.1
"43",43,47,2.31,13,65.1
"44",44,64,3.39,27,57.4
"45",45,52,3.44,24,60.6
"46",46,56,3.64,33,60.7
"47",47,59,2.16,31,62.6
"48",48,22,2.71,12,72.2
"49",49,44,2.01,37,69.6
"50",50,55,2.96,10,77.7
"51",51,69,2.05,37,46.3
"52",52,16,3.19,39,70.7
"53",53,30,3.1,34,69.6
"54",54,60,3.74,26,61.2
"55",55,60,2.25,18,68.1
"56",56,37,2.81,19,70.7
"57",57,21,2.74,35,67.1
"58",58,30,3.49,13,73.1
"59",59,67,2.62,12,56.2
"60",60,11,3.68,20,78.2
"61",61,40,2.6,11,75.4
"62",62,53,3.51,21,62.4
"63",63,43,2.25,9,71.3
"64",64,44,3.68,31,67.2
"65",65,69,2.04,23,48.6
"66",66,39,2.84,26,64.1
"67",67,49,3.84,30,59.4
"68",68,38,2.54,18,78.3
"69",69,53,3.53,35,65.7
"70",70,39,2.86,19,70.2
"71",71,50,2.88,35,63.2
"72",72,43,3.3,15,71.9
"73",73,81,2.89,25,54.4
"74",74,71,1.77,20,53.9
"75",75,36,2.98,18,66.6
"76",76,37,1.96,12,67.5
"77",77,24,3.92,23,76.4
"78",78,29,3.42,22,69.1
"79",79,15,2.4,30,73.6
"80",80,55,3.66,29,58.9
"81",81,31,1.81,35,66.3
"82",82,43,3.93,33,68.9
"83",83,72,2.82,14,65
"84",84,55,2.03,25,60.6
"85",85,26,3.28,9,79.5
"86",86,32,3.84,37,78.6
"87",87,17,2.88,6,80.4
"88",88,27,2.79,11,78.8
"89",89,67,2.35,8,59.8
"90",90,52,1.6,15,59.3
