"","hospital_id","hospital_type","bed_count","avg_patient_severity","nurse_per_patient","readmission_rate"
"1",1,"Community",160,2.51,4.11,19
"2",2,"Community",303,2.69,2.35,21
"3",3,"Community",34,2.24,4.78,17
"4",4,"Community",316,1.7,3.82,17
"5",5,"Community",315,1.83,3.88,17.5
"6",6,"Community",295,2.48,2.53,21.9
"7",7,"Community",194,1.15,4.42,16.6
"8",8,"Community",155,2.4,2.46,15.7
"9",9,"Community",76,1.78,3.1,15.8
"10",10,"Community",194,1.43,3.3,21
"11",11,"Teaching",326,2.75,2.88,18.7
"12",12,"Community",353,1.45,2.25,13.1
"13",13,"Critical Access",36,2.08,3.16,21.3
"14",14,"Critical Access",48,2.37,4.55,19.8
"15",15,"Community",280,2.3,2.53,21.6
"16",16,"Community",266,2.57,3.8,17.2
"17",17,"Teaching",425,2.05,3.71,13.8
"18",18,"Community",238,2.23,4.8,19.9
"19",19,"Community",150,2.45,3.8,16.8
"20",20,"Community",145,2.2,3.02,17
"21",21,"Critical Access",35,2.94,2.48,21.2
"22",22,"Teaching",505,1.62,3.58,11.8
"23",23,"Critical Access",31,2.41,3.44,18.6
"24",24,"Community",267,1.27,2.54,17
"25",25,"Critical Access",49,1.14,3.96,16.7
"26",26,"Teaching",291,2.46,3.68,17.8
"27",27,"Community",331,2.26,2.83,17.6
"28",28,"Community",240,1.21,2.51,16.1
"29",29,"Community",256,1.68,2.44,15.8
"30",30,"Teaching",429,2.06,4.31,15.1
"31",31,"Community",314,2.08,3.63,20.5
"32",32,"Community",210,1.48,3.44,16.5
"33",33,"Teaching",406,1.52,2.26,16.1
"34",34,"Community",271,1.55,4.39,15.3
"35",35,"Critical Access",32,2.79,4.68,21.2
"36",36,"Critical Access",46,2.02,2.54,19.4
"37",37,"Community",306,1.99,3.35,15.4
"38",38,"Community",280,2.9,3.17,16.5
"39",39,"Community",284,2.4,2.46,17.2
"40",40,"Community",254,1.71,4.07,17.3
"41",41,"Community",216,1.66,2.98,17.8
"42",42,"Teaching",577,1.16,2.14,14.1
"43",43,"Critical Access",33,2.99,4.31,22.4
"44",44,"Teaching",533,1.4,4.59,12.5
"45",45,"Community",277,1.89,3.15,15.6
"46",46,"Critical Access",46,1.6,4.48,17.2
"47",47,"Critical Access",42,2.35,3.39,22.4
"48",48,"Teaching",466,1.77,4.36,12.8
"49",49,"Critical Access",50,1.74,4.18,19.5
"50",50,"Community",94,2.03,4.26,15.7
"51",51,"Community",187,1.61,4.47,12.5
"52",52,"Community",171,2.1,3.26,19.8
"53",53,"Community",72,2.04,3.02,17.5
"54",54,"Community",172,2.4,4.6,16.8
"55",55,"Teaching",240,2.79,4.09,17
"56",56,"Critical Access",38,1.14,2.35,23.2
"57",57,"Critical Access",50,2.88,3.45,22.5
"58",58,"Critical Access",21,2.2,4.8,22.5
"59",59,"Community",207,1.86,3.76,18.4
"60",60,"Community",69,1.98,2.82,16.7
"61",61,"Critical Access",63,2.02,3.86,21.2
"62",62,"Community",371,1.92,3.84,17.1
"63",63,"Critical Access",36,2.75,4.06,23.3
"64",64,"Community",186,2.53,2.08,21
"65",65,"Community",43,2.88,3.75,18.4
"66",66,"Community",49,1.57,4,12.7
"67",67,"Critical Access",36,1.7,3.05,20.7
"68",68,"Teaching",460,2.89,4.12,16.9
"69",69,"Teaching",516,1.87,3.9,12.9
"70",70,"Critical Access",38,1.05,3.81,18.8
"71",71,"Critical Access",34,2.76,3.72,21.5
"72",72,"Teaching",333,2.03,3.62,17.8
"73",73,"Community",104,2.29,3.97,17.8
"74",74,"Critical Access",67,1.49,2.45,19
"75",75,"Community",166,1.37,3.15,18.5
"76",76,"Teaching",512,1.87,3.44,9.9
"77",77,"Community",338,2.57,3.85,18
"78",78,"Community",177,1.39,3.4,17.5
"79",79,"Community",278,1.01,3.13,15.1
"80",80,"Community",148,2.89,3.04,19.8
"81",81,"Critical Access",43,2.64,3.76,22.9
"82",82,"Community",120,2.19,2.08,16.2
"83",83,"Community",135,2.37,2.59,17.9
"84",84,"Critical Access",38,1.23,2.78,18
"85",85,"Critical Access",18,2.4,4.91,19.3
"86",86,"Community",215,1.45,4.58,16.8
"87",87,"Critical Access",61,2.47,3.68,20.2
"88",88,"Critical Access",41,1.72,3.84,18.9
"89",89,"Teaching",393,1.72,3.37,12.5
"90",90,"Teaching",409,2.13,3.28,11.9
"91",91,"Community",240,1.94,2.32,21.7
"92",92,"Teaching",534,1.77,2.87,15.9
"93",93,"Critical Access",23,1.37,3.4,18.1
"94",94,"Teaching",400,2.1,4.07,15.4
"95",95,"Teaching",423,1.17,3.76,12.5
"96",96,"Teaching",479,1.18,4.65,10.9
"97",97,"Critical Access",28,2.47,3.83,19.3
"98",98,"Teaching",405,2.63,3.4,15.5
"99",99,"Community",179,1.29,3.4,12.6
"100",100,"Critical Access",41,1.31,2.08,16.2
"101",101,"Community",158,2.82,3.35,16
"102",102,"Critical Access",54,2.25,2.49,20
"103",103,"Teaching",476,2.77,3.98,16
"104",104,"Critical Access",54,1.03,4.14,15.2
"105",105,"Community",238,1.79,4.42,17.9
"106",106,"Community",80,1.34,2.26,15.4
"107",107,"Critical Access",43,2.14,2.78,19.6
"108",108,"Community",39,1.98,2.41,18.3
"109",109,"Community",202,2.87,3.26,19.4
"110",110,"Teaching",414,2.79,4.46,13.7
"111",111,"Teaching",459,2.08,2.48,18
"112",112,"Community",110,2.65,2.65,19.6
"113",113,"Teaching",333,2.47,2.95,18.5
"114",114,"Community",156,1.11,2.89,16.6
"115",115,"Critical Access",31,2.53,2.36,24.1
"116",116,"Teaching",412,1.61,2.56,12.3
"117",117,"Critical Access",28,2.83,2.76,21.4
"118",118,"Critical Access",45,1.36,2.55,18.8
"119",119,"Community",282,1.75,4.56,12.7
"120",120,"Critical Access",40,1.45,2.35,20.7
"121",121,"Teaching",538,2.08,4.44,14.8
"122",122,"Teaching",402,1.94,3.01,15
"123",123,"Teaching",314,1.63,2.93,11.1
"124",124,"Critical Access",28,1.84,2.65,19.5
"125",125,"Community",352,1.17,3.77,16.1
"126",126,"Community",212,2.41,4.71,16
"127",127,"Community",279,1.03,3.77,14.4
"128",128,"Community",317,2.57,2.26,19.9
"129",129,"Community",164,1.44,4.95,17
"130",130,"Community",239,1.33,3.67,15.4
"131",131,"Community",180,2.05,2.32,17.5
"132",132,"Teaching",220,1.92,2.34,16.2
"133",133,"Critical Access",41,1.49,3.15,17.3
"134",134,"Community",178,1.42,2.96,10.9
"135",135,"Community",271,1.97,3.79,16.8
"136",136,"Community",169,2.33,4.27,15.8
"137",137,"Community",119,2.13,2.65,16.6
"138",138,"Community",240,1.01,3.21,17.7
"139",139,"Teaching",417,2.7,3.46,17.6
