"","hospital_id","region","teaching_status","it_investment","avg_los","quality_score"
"1",1,"Northeast","Non-Teaching",435,4.8,72.1
"2",2,"Midwest","Non-Teaching",83,4.8,50.8
"3",3,"West","Teaching",336,2,80.2
"4",4,"Northeast","Non-Teaching",91,4.1,55.2
"5",5,"West","Non-Teaching",278,3.9,58.1
"6",6,"South","Teaching",351,4.6,76.8
"7",7,"Midwest","Teaching",293,3.6,68.6
"8",8,"West","Teaching",262,3.5,67.7
"9",9,"Northeast","Non-Teaching",115,4.3,62.2
"10",10,"Northeast","Non-Teaching",82,3.8,65.5
"11",11,"Northeast","Teaching",183,4.7,67.1
"12",12,"West","Teaching",337,4,69.2
"13",13,"South","Non-Teaching",128,3.4,58.4
"14",14,"West","Teaching",118,3.1,63.6
"15",15,"South","Teaching",158,4.4,60.3
"16",16,"West","Teaching",249,4.3,90.1
"17",17,"Midwest","Non-Teaching",399,4.5,67.7
"18",18,"South","Non-Teaching",421,5.5,66.5
"19",19,"South","Teaching",398,3.3,68.4
"20",20,"West","Non-Teaching",206,5.2,52.1
"21",21,"Midwest","Teaching",465,4.5,85.1
"22",22,"South","Teaching",140,5.4,66.8
"23",23,"Northeast","Teaching",424,3.8,84.9
"24",24,"Midwest","Non-Teaching",266,5.1,58.3
"25",25,"Midwest","Non-Teaching",248,4.7,53.6
"26",26,"West","Teaching",280,6.1,69.7
"27",27,"Northeast","Non-Teaching",173,5.1,55
"28",28,"West","Teaching",480,4.4,76.2
"29",29,"Midwest","Non-Teaching",395,5.6,49.8
"30",30,"South","Non-Teaching",277,6,48.4
"31",31,"Northeast","Non-Teaching",354,5.6,54.2
"32",32,"Midwest","Non-Teaching",90,5.3,50.8
"33",33,"South","Non-Teaching",229,4,65.1
"34",34,"West","Teaching",226,4.5,66
"35",35,"Midwest","Non-Teaching",162,3.4,47.6
"36",36,"Northeast","Non-Teaching",232,4.5,59.1
"37",37,"West","Teaching",225,5.6,60.4
"38",38,"Northeast","Teaching",410,4.4,84.5
"39",39,"West","Teaching",208,3.9,78.2
"40",40,"South","Non-Teaching",487,5.6,56.3
"41",41,"Midwest","Teaching",203,5.1,68.9
"42",42,"West","Teaching",129,5.2,74.4
"43",43,"West","Non-Teaching",410,4.5,71.2
"44",44,"Northeast","Non-Teaching",438,6.2,61.9
"45",45,"South","Non-Teaching",287,4.1,63.8
"46",46,"South","Teaching",107,5.8,58.6
"47",47,"Northeast","Teaching",236,3.9,71.5
"48",48,"Midwest","Teaching",256,4.9,66.5
"49",49,"Midwest","Teaching",243,5.6,70.3
"50",50,"Northeast","Teaching",185,4.6,64.8
"51",51,"Northeast","Non-Teaching",216,6.2,60.2
"52",52,"Midwest","Teaching",361,2.7,78.3
"53",53,"Midwest","Teaching",247,3.3,74.1
"54",54,"Midwest","Teaching",433,4.9,81.4
"55",55,"Midwest","Non-Teaching",486,4.1,59.6
"56",56,"South","Teaching",256,2.7,69.2
"57",57,"Midwest","Teaching",448,4.7,71.9
"58",58,"South","Non-Teaching",256,5,54.3
"59",59,"West","Teaching",66,3.6,70.8
"60",60,"South","Non-Teaching",226,5.5,57.2
"61",61,"South","Teaching",92,5.2,55.8
"62",62,"West","Non-Teaching",280,7,59.4
"63",63,"West","Teaching",196,4.6,65.3
"64",64,"West","Non-Teaching",267,4.4,60.3
"65",65,"Northeast","Non-Teaching",273,4.1,57.6
"66",66,"Midwest","Teaching",241,4.4,67.7
"67",67,"South","Teaching",198,5.7,60.2
"68",68,"Northeast","Non-Teaching",359,4.4,63.3
"69",69,"West","Non-Teaching",484,3.9,73.3
"70",70,"South","Non-Teaching",358,4.8,66.8
"71",71,"West","Non-Teaching",139,4.8,64.1
"72",72,"Midwest","Non-Teaching",486,4.4,75.4
"73",73,"South","Teaching",81,3.6,59.3
"74",74,"Northeast","Non-Teaching",423,4.3,72.1
"75",75,"Midwest","Teaching",198,4,56.8
"76",76,"South","Teaching",418,3.4,70.2
"77",77,"West","Teaching",108,4.7,70.9
"78",78,"Midwest","Teaching",455,6.2,87.5
"79",79,"West","Teaching",476,5,81.1
"80",80,"West","Teaching",280,5.8,72.2
"81",81,"Northeast","Teaching",387,3.3,80
"82",82,"South","Teaching",88,4.6,59.6
"83",83,"West","Non-Teaching",364,5.4,60.6
"84",84,"South","Teaching",328,4,75.8
"85",85,"Midwest","Non-Teaching",430,4.4,65
"86",86,"West","Non-Teaching",374,4.9,49.9
"87",87,"West","Non-Teaching",222,2.9,66
"88",88,"South","Teaching",399,2.3,73
"89",89,"Midwest","Teaching",61,4.4,64.6
"90",90,"Midwest","Non-Teaching",121,3,57.4
"91",91,"South","Teaching",155,4.5,62.6
"92",92,"West","Teaching",475,6,86.9
"93",93,"South","Teaching",56,5.4,53
"94",94,"Midwest","Non-Teaching",280,5.2,55.5
"95",95,"South","Non-Teaching",489,6,61.3
"96",96,"Midwest","Teaching",237,4.1,74.7
"97",97,"Northeast","Non-Teaching",452,4.2,75.7
"98",98,"Northeast","Teaching",123,4.5,59.6
"99",99,"Northeast","Teaching",342,5.3,71.2
"100",100,"Midwest","Teaching",259,6,53.8
"101",101,"South","Non-Teaching",483,4.3,71.9
"102",102,"Midwest","Non-Teaching",318,8.2,49.8
"103",103,"Northeast","Non-Teaching",423,6.9,64.1
"104",104,"South","Teaching",392,4,74
"105",105,"Midwest","Teaching",497,4.1,86.5
