"","hospital_id","ownership","nurse_ratio","patient_volume","avg_acuity","patient_satisfaction"
"1",1,"For-Profit",3.18,472,1.87,45.5
"2",2,"For-Profit",4.84,308,2.15,57.8
"3",3,"For-Profit",4.64,272,1.64,60.5
"4",4,"Non-Profit",5.18,673,1.88,78.5
"5",5,"For-Profit",3.21,494,2.22,43.4
"6",6,"For-Profit",3.87,517,2.62,49.7
"7",7,"For-Profit",4.73,633,1.99,50.7
"8",8,"Non-Profit",3.39,571,1.2,62.3
"9",9,"Non-Profit",4,359,1.13,65.3
"10",10,"Non-Profit",2.98,322,2.77,62.7
"11",11,"Non-Profit",3.92,260,1.18,72.5
"12",12,"Non-Profit",2.92,342,2.55,69.5
"13",13,"Non-Profit",4.93,518,1.57,61.6
"14",14,"Non-Profit",4.8,548,2.67,77.8
"15",15,"For-Profit",5.72,349,2.16,54.2
"16",16,"Non-Profit",5.23,724,2.14,75.7
"17",17,"For-Profit",3.33,558,2.88,46.5
"18",18,"For-Profit",5.24,850,2.1,53.5
"19",19,"Non-Profit",2.46,617,2.89,54.9
"20",20,"Non-Profit",4.66,484,2.91,73.3
"21",21,"Non-Profit",5.5,646,1.98,69.6
"22",22,"Non-Profit",3.13,555,1.89,64.7
"23",23,"For-Profit",2.32,574,1.05,40.6
"24",24,"Non-Profit",3.35,697,2.79,53.8
"25",25,"Non-Profit",4.53,733,2.6,67.5
"26",26,"For-Profit",3.67,510,2.66,49.5
"27",27,"Non-Profit",5.12,511,2.73,68.6
"28",28,"For-Profit",3.66,571,2.51,47.1
"29",29,"Non-Profit",4.38,410,1.7,70.8
"30",30,"For-Profit",2.56,728,1.41,50.6
"31",31,"For-Profit",5.88,633,2.23,45.6
"32",32,"Non-Profit",2.25,345,2.84,56.5
"33",33,"For-Profit",3.84,461,1.42,44.7
"34",34,"Non-Profit",3.14,518,1.26,70.2
"35",35,"Non-Profit",5.51,670,1.95,77.1
"36",36,"Non-Profit",3.83,648,2.08,61.8
"37",37,"Non-Profit",5.7,701,2.25,78.4
"38",38,"For-Profit",3.25,732,1.55,45.4
"39",39,"For-Profit",3.94,549,2.6,37.3
"40",40,"Non-Profit",4.97,504,1.9,64.4
"41",41,"Non-Profit",4.88,480,2.4,69.4
"42",42,"For-Profit",3.79,470,1.36,47.9
"43",43,"Non-Profit",2.88,726,2.27,58
"44",44,"Non-Profit",3,830,2.45,64.7
"45",45,"For-Profit",5.58,692,1.2,54.6
"46",46,"For-Profit",3.61,613,1.39,50.8
"47",47,"For-Profit",5.06,823,2.82,53.2
"48",48,"For-Profit",5.45,480,1.45,66.4
"49",49,"For-Profit",2.19,282,1.02,38.3
"50",50,"Non-Profit",3.66,175,2.63,69.6
"51",51,"For-Profit",4.2,441,1.38,50.2
"52",52,"Non-Profit",4.12,432,2.78,64.9
"53",53,"Non-Profit",4.78,448,2.75,58.5
"54",54,"Non-Profit",2.82,447,2.3,55.7
"55",55,"For-Profit",5.27,447,1.47,63.2
"56",56,"Non-Profit",4.87,321,2.03,76.1
"57",57,"For-Profit",4.07,676,1.69,45.2
"58",58,"Non-Profit",2.6,414,2.37,58.9
"59",59,"Non-Profit",2.54,461,2.98,53.5
"60",60,"For-Profit",2.31,365,1.78,39.7
"61",61,"For-Profit",3.84,165,2.66,48.3
"62",62,"For-Profit",2.56,536,1.4,54.9
"63",63,"Non-Profit",5.86,608,1.16,75.2
"64",64,"For-Profit",2.03,401,1.52,41.6
"65",65,"Non-Profit",2.61,726,1.62,60.6
"66",66,"Non-Profit",5.29,579,2.22,71.3
"67",67,"For-Profit",2.63,229,1.37,47.5
"68",68,"For-Profit",3.25,678,2.74,45.4
"69",69,"Non-Profit",3.37,815,2.07,44.8
"70",70,"Non-Profit",3.85,375,1.61,70.9
"71",71,"Non-Profit",2.03,352,1.17,54.6
"72",72,"For-Profit",5.37,507,1.47,60.3
"73",73,"Non-Profit",2.4,537,1.77,66
"74",74,"For-Profit",5.13,457,2.18,57.4
"75",75,"For-Profit",2.17,472,2.85,43.1
"76",76,"Non-Profit",2.45,462,1.46,52.2
"77",77,"For-Profit",5.48,586,2.49,45.4
"78",78,"For-Profit",4.29,580,1.63,51.6
"79",79,"Non-Profit",5.35,546,2.39,66
"80",80,"Non-Profit",5.24,540,1.14,72.8
"81",81,"Non-Profit",2.52,489,1.58,53
"82",82,"For-Profit",3.35,533,1.19,59.2
"83",83,"For-Profit",4.75,706,1.75,49.1
"84",84,"For-Profit",3.39,664,2.26,47.8
"85",85,"Non-Profit",3.44,332,2.31,64.5
"86",86,"Non-Profit",2.02,621,2.89,51.9
"87",87,"For-Profit",4.12,337,1.17,50
"88",88,"For-Profit",2.55,433,1.4,50
"89",89,"Non-Profit",5.74,656,1.01,80.2
"90",90,"Non-Profit",2.99,532,1.6,56.8
"91",91,"For-Profit",2.1,655,1.73,58.2
"92",92,"Non-Profit",5.83,455,2.62,73.5
"93",93,"Non-Profit",3.54,502,1.72,62.5
"94",94,"Non-Profit",3.33,101,1.17,64.9
"95",95,"Non-Profit",4.54,519,2.57,73.7
