"","respondent_id","choice_set","premium_A","deductible_A","network_A","premium_B","deductible_B","network_B","choice_A"
"1",1,1,300,500,"Small",200,1500,"Small",1
"2",1,2,200,1500,"Large",300,500,"Large",1
"3",1,3,300,500,"Large",200,1500,"Small",1
"4",1,4,200,1500,"Large",300,500,"Small",1
"5",1,5,300,1500,"Small",300,1500,"Large",0
"6",1,6,200,1500,"Small",300,1500,"Large",0
"7",1,7,300,500,"Large",200,1500,"Small",1
"8",1,8,200,500,"Large",200,500,"Small",1
"9",2,1,200,500,"Small",300,1500,"Small",1
"10",2,2,300,500,"Large",200,1500,"Large",0
"11",2,3,200,1500,"Small",300,500,"Large",0
"12",2,4,200,1500,"Large",200,1500,"Small",1
"13",2,5,200,500,"Small",300,1500,"Large",1
"14",2,6,200,1500,"Small",300,500,"Small",1
"15",2,7,200,1500,"Large",300,500,"Small",1
"16",2,8,300,1500,"Large",200,500,"Small",1
"17",3,1,200,500,"Small",200,1500,"Small",1
"18",3,2,200,1500,"Small",300,1500,"Small",1
"19",3,3,300,500,"Small",200,1500,"Large",0
"20",3,4,200,500,"Large",200,500,"Small",1
"21",3,5,200,1500,"Large",300,500,"Small",1
"22",3,6,200,1500,"Large",200,500,"Small",1
"23",3,7,300,500,"Small",300,500,"Large",1
"24",3,8,200,500,"Small",300,500,"Small",1
"25",4,1,300,500,"Small",200,1500,"Small",0
"26",4,2,200,1500,"Small",200,500,"Large",0
"27",4,3,200,1500,"Large",300,1500,"Large",1
"28",4,4,200,1500,"Small",300,500,"Small",0
"29",4,5,200,500,"Small",300,1500,"Large",1
"30",4,6,300,1500,"Large",200,1500,"Large",0
"31",4,7,300,500,"Small",200,1500,"Small",1
"32",4,8,300,1500,"Large",200,500,"Large",1
"33",5,1,200,500,"Large",300,500,"Small",1
"34",5,2,200,1500,"Small",200,1500,"Large",0
"35",5,3,300,1500,"Small",200,500,"Large",0
"36",5,4,300,500,"Large",200,500,"Large",1
"37",5,5,300,1500,"Small",200,1500,"Small",0
"38",5,6,300,1500,"Large",300,1500,"Small",0
"39",5,7,300,500,"Large",300,1500,"Small",1
"40",5,8,300,500,"Small",300,1500,"Small",1
"41",6,1,200,500,"Large",300,1500,"Large",1
"42",6,2,200,500,"Small",200,1500,"Large",0
"43",6,3,300,1500,"Small",300,500,"Small",0
"44",6,4,200,1500,"Small",200,1500,"Large",1
"45",6,5,200,1500,"Small",300,500,"Large",0
"46",6,6,200,500,"Large",300,500,"Large",1
"47",6,7,200,500,"Small",200,500,"Large",0
"48",6,8,200,500,"Small",300,500,"Small",1
"49",7,1,200,500,"Small",200,1500,"Large",1
"50",7,2,200,1500,"Large",200,1500,"Small",1
"51",7,3,200,1500,"Large",200,500,"Large",1
"52",7,4,300,500,"Small",300,500,"Large",0
"53",7,5,300,1500,"Large",300,500,"Large",0
"54",7,6,300,1500,"Large",200,500,"Large",0
"55",7,7,200,1500,"Small",200,1500,"Large",0
"56",7,8,300,1500,"Large",300,500,"Large",0
"57",8,1,300,1500,"Small",300,500,"Small",1
"58",8,2,300,1500,"Small",300,500,"Small",0
"59",8,3,200,1500,"Large",200,1500,"Small",0
"60",8,4,200,500,"Large",200,1500,"Small",1
"61",8,5,300,1500,"Large",200,1500,"Small",0
"62",8,6,300,1500,"Large",300,1500,"Small",1
"63",8,7,300,1500,"Large",300,500,"Small",1
"64",8,8,300,500,"Large",300,1500,"Small",1
"65",9,1,300,1500,"Large",200,1500,"Large",0
"66",9,2,200,1500,"Small",200,500,"Small",0
"67",9,3,300,500,"Large",200,500,"Small",1
"68",9,4,200,1500,"Small",300,500,"Large",0
"69",9,5,300,1500,"Small",200,500,"Large",1
"70",9,6,200,500,"Large",300,1500,"Small",1
"71",9,7,200,500,"Large",200,1500,"Large",0
"72",9,8,300,1500,"Small",300,500,"Small",1
"73",10,1,300,1500,"Large",300,1500,"Small",0
"74",10,2,300,500,"Large",300,500,"Small",0
"75",10,3,300,500,"Small",300,1500,"Small",1
"76",10,4,200,500,"Large",200,500,"Small",1
"77",10,5,200,500,"Small",200,1500,"Small",0
"78",10,6,200,500,"Small",300,500,"Large",1
"79",10,7,300,500,"Small",200,1500,"Small",0
"80",10,8,300,1500,"Large",300,500,"Small",1
"81",11,1,300,1500,"Large",200,500,"Large",0
