"respondent_id","profile_id","wait_sameday","mode_video","copay","rating"
1,1,1,1,20,6.2
1,2,0,1,20,4.4
1,3,1,0,20,5.1
1,4,0,0,20,3.9
1,5,1,1,40,5.3
1,6,0,1,40,2.7
1,7,1,0,40,5.1
1,8,0,0,40,2.3
2,1,1,1,20,7.3
2,2,0,1,20,4.7
2,3,1,0,20,4.7
2,4,0,0,20,3.5
2,5,1,1,40,5.1
2,6,0,1,40,3.3
2,7,1,0,40,3.6
2,8,0,0,40,2.4
3,1,1,1,20,6.8
3,2,0,1,20,5.3
3,3,1,0,20,5.8
3,4,0,0,20,4.1
3,5,1,1,40,4.4
3,6,0,1,40,4.1
3,7,1,0,40,3.4
3,8,0,0,40,2.8
4,1,1,1,20,6.3
4,2,0,1,20,4.7
4,3,1,0,20,4.9
4,4,0,0,20,4.1
4,5,1,1,40,5.7
4,6,0,1,40,3
4,7,1,0,40,4
4,8,0,0,40,2.9
5,1,1,1,20,6.8
5,2,0,1,20,4
5,3,1,0,20,4.4
5,4,0,0,20,3.8
5,5,1,1,40,4.6
5,6,0,1,40,2.5
5,7,1,0,40,3.2
5,8,0,0,40,2.2
6,1,1,1,20,6.4
6,2,0,1,20,4.6
6,3,1,0,20,5.2
6,4,0,0,20,4.4
6,5,1,1,40,3.8
6,6,0,1,40,3.2
6,7,1,0,40,4.4
6,8,0,0,40,2.5
7,1,1,1,20,6.5
7,2,0,1,20,4.3
7,3,1,0,20,6.3
7,4,0,0,20,4.9
7,5,1,1,40,4.6
7,6,0,1,40,4
7,7,1,0,40,4.4
7,8,0,0,40,3.3
8,1,1,1,20,6
8,2,0,1,20,4.8
8,3,1,0,20,4.5
8,4,0,0,20,4.1
8,5,1,1,40,4.1
8,6,0,1,40,2.2
8,7,1,0,40,4
8,8,0,0,40,2.3
9,1,1,1,20,6
9,2,0,1,20,4.9
9,3,1,0,20,6
9,4,0,0,20,4.5
9,5,1,1,40,4.7
9,6,0,1,40,2.9
9,7,1,0,40,3.8
9,8,0,0,40,2.1
10,1,1,1,20,6.2
10,2,0,1,20,4.4
10,3,1,0,20,5.3
10,4,0,0,20,4.1
10,5,1,1,40,5
10,6,0,1,40,2.9
10,7,1,0,40,3.7
10,8,0,0,40,2.7
11,1,1,1,20,6.3
11,2,0,1,20,4.3
11,3,1,0,20,4.4
11,4,0,0,20,4.2
11,5,1,1,40,3.8
11,6,0,1,40,2.8
11,7,1,0,40,4.3
11,8,0,0,40,2.2
12,1,1,1,20,6.6
12,2,0,1,20,4
12,3,1,0,20,5.4
12,4,0,0,20,4.8
12,5,1,1,40,4.2
12,6,0,1,40,2.7
12,7,1,0,40,3.8
12,8,0,0,40,2.4
13,1,1,1,20,6.5
13,2,0,1,20,4.3
13,3,1,0,20,4.4
13,4,0,0,20,3.6
13,5,1,1,40,5.5
13,6,0,1,40,3.3
13,7,1,0,40,3.3
13,8,0,0,40,2.7
14,1,1,1,20,6.7
14,2,0,1,20,4.6
14,3,1,0,20,5.2
14,4,0,0,20,4.2
14,5,1,1,40,4.6
