"respondent_id","choice_set","distance_5min_A","wait_sameweek_A","provider_md_A","copay_A","distance_5min_B","wait_sameweek_B","provider_md_B","copay_B","choice_A"
1,1,1,1,1,50,1,0,1,50,1
1,2,0,1,1,25,1,1,0,50,1
1,3,1,0,1,50,1,1,1,25,0
1,4,1,0,0,25,0,1,0,50,1
1,5,0,1,1,25,1,1,0,25,0
1,6,1,0,0,25,0,1,1,50,1
1,7,1,1,1,50,1,1,0,50,1
1,8,1,0,1,25,0,0,1,50,1
2,1,0,0,0,25,1,0,1,25,0
2,2,1,1,1,50,1,0,0,50,1
2,3,0,0,1,50,1,0,1,50,0
2,4,1,0,1,25,0,0,1,25,1
2,5,1,1,0,50,0,1,1,25,0
2,6,1,0,1,50,0,0,1,25,1
2,7,1,1,1,50,1,0,1,25,1
2,8,1,0,0,25,0,0,1,50,1
3,1,0,0,0,25,1,0,1,50,0
3,2,0,1,0,25,0,1,1,25,0
3,3,0,0,0,25,1,1,0,50,0
3,4,0,0,0,25,1,1,1,25,0
3,5,1,0,0,25,0,1,1,25,0
3,6,0,1,0,50,1,0,0,50,0
3,7,0,0,1,25,1,1,1,50,0
3,8,0,0,0,25,0,1,0,50,0
4,1,1,1,1,25,1,0,1,25,1
4,2,1,1,0,50,1,1,0,25,0
4,3,1,0,1,25,1,0,0,25,1
4,4,0,1,0,25,0,0,1,50,1
4,5,1,1,0,50,1,0,0,50,1
4,6,1,1,0,50,0,1,1,50,1
4,7,1,1,0,25,1,1,0,50,1
4,8,1,1,0,50,1,0,0,50,1
5,1,0,0,1,50,1,1,1,50,0
5,2,1,1,0,50,0,1,0,50,1
5,3,0,1,1,50,1,1,1,50,0
5,4,1,0,1,50,0,1,1,50,0
5,5,1,0,0,50,0,1,0,25,0
5,6,0,1,1,50,0,0,0,50,1
5,7,1,0,0,50,1,1,0,25,0
5,8,1,0,0,50,1,1,1,25,0
6,1,0,0,0,50,1,1,1,25,0
6,2,0,1,0,25,0,0,0,25,1
6,3,0,0,1,50,1,0,1,25,0
6,4,0,0,0,50,0,0,0,25,0
6,5,0,0,1,50,0,1,1,25,0
6,6,1,1,0,50,1,0,1,25,1
