"choice_set","alternative","distance_5min","wait_sameweek","provider_md","copay","choice"
"100_1","A",1,0,1,50,1
"100_1","B",0,0,1,25,0
"100_2","A",0,0,1,25,0
"100_2","B",1,0,0,25,1
"100_3","A",0,1,1,50,1
"100_3","B",0,1,0,50,0
"100_4","A",1,0,1,25,1
"100_4","B",0,0,0,50,0
"100_5","A",1,0,0,50,0
"100_5","B",0,1,1,50,1
"100_6","A",0,0,0,50,0
"100_6","B",1,0,1,25,1
"100_7","A",0,1,0,25,1
"100_7","B",0,1,0,50,0
"100_8","A",0,1,1,25,1
"100_8","B",0,1,1,50,0
"10_1","A",1,1,1,25,1
"10_1","B",1,1,0,50,0
"10_2","A",1,0,1,50,0
"10_2","B",1,1,1,50,1
"10_3","A",0,1,0,25,0
"10_3","B",0,1,1,25,1
"10_4","A",0,1,0,50,0
"10_4","B",1,0,0,25,1
"10_5","A",1,1,0,50,1
"10_5","B",0,0,0,25,0
"10_6","A",1,0,0,25,1
"10_6","B",0,1,0,50,0
"10_7","A",1,0,1,50,1
"10_7","B",0,0,0,50,0
"10_8","A",1,0,0,25,0
"10_8","B",1,1,1,25,1
"11_1","A",1,1,0,25,0
"11_1","B",1,1,1,25,1
"11_2","A",0,0,0,25,0
"11_2","B",0,1,1,50,1
"11_3","A",1,0,1,50,1
"11_3","B",0,0,1,50,0
"11_4","A",1,1,1,25,1
"11_4","B",1,1,0,25,0
"11_5","A",1,0,0,50,1
"11_5","B",0,0,1,25,0
"11_6","A",0,1,0,25,1
"11_6","B",1,0,0,50,0
"11_7","A",1,0,0,25,0
"11_7","B",1,1,0,25,1
"11_8","A",1,0,0,50,0
"11_8","B",0,1,1,25,1
"12_1","A",0,1,1,50,1
"12_1","B",0,0,0,25,0
"12_2","A",0,0,1,50,0
"12_2","B",0,1,1,25,1
"12_3","A",0,1,1,50,1
"12_3","B",0,0,0,25,0
"12_4","A",0,1,1,25,0
"12_4","B",1,1,1,50,1
"12_5","A",0,0,1,25,0
"12_5","B",0,1,1,50,1
"12_6","A",0,1,1,25,1
"12_6","B",0,1,0,50,0
"12_7","A",0,1,0,25,1
"12_7","B",0,0,1,50,0
"12_8","A",0,1,1,50,0
"12_8","B",1,0,1,50,1
"13_1","A",1,0,0,50,0
"13_1","B",1,1,1,25,1
"13_2","A",0,1,1,25,0
"13_2","B",1,1,1,50,1
"13_3","A",1,0,0,25,0
"13_3","B",0,1,1,25,1
"13_4","A",0,1,1,50,0
"13_4","B",1,1,1,25,1
