"respondent_id","profile_id","premium","deductible","network","rating"
1,1,200,500,"Small",6
1,2,300,500,"Small",4
1,3,200,1500,"Small",5.1
1,4,300,1500,"Small",3.8
1,5,200,500,"Large",6
1,6,300,500,"Large",3.9
1,7,200,1500,"Large",5.3
1,8,300,1500,"Large",3.9
2,1,200,500,"Small",5.8
2,2,300,500,"Small",4.3
2,3,200,1500,"Small",4.8
2,4,300,1500,"Small",3.5
2,5,200,500,"Large",6.2
2,6,300,500,"Large",5
2,7,200,1500,"Large",4.4
2,8,300,1500,"Large",5.1
3,1,200,500,"Small",6.1
3,2,300,500,"Small",4.7
3,3,200,1500,"Small",4.6
3,4,300,1500,"Small",4.2
3,5,200,500,"Large",6.2
3,6,300,500,"Large",5.1
3,7,200,1500,"Large",5
3,8,300,1500,"Large",5.2
4,1,200,500,"Small",5.8
4,2,300,500,"Small",5.5
4,3,200,1500,"Small",5.9
4,4,300,1500,"Small",3.9
4,5,200,500,"Large",6.7
4,6,300,500,"Large",6
4,7,200,1500,"Large",5.4
4,8,300,1500,"Large",4.5
5,1,200,500,"Small",5.6
5,2,300,500,"Small",4.7
5,3,200,1500,"Small",5.1
5,4,300,1500,"Small",4.4
5,5,200,500,"Large",6.6
5,6,300,500,"Large",4.7
5,7,200,1500,"Large",5.9
5,8,300,1500,"Large",4
6,1,200,500,"Small",5.2
6,2,300,500,"Small",4.9
6,3,200,1500,"Small",4.4
6,4,300,1500,"Small",4
6,5,200,500,"Large",5.9
6,6,300,500,"Large",5.9
6,7,200,1500,"Large",6
6,8,300,1500,"Large",4.2
7,1,200,500,"Small",6.1
7,2,300,500,"Small",4.8
7,3,200,1500,"Small",4.5
7,4,300,1500,"Small",3.7
7,5,200,500,"Large",5.9
7,6,300,500,"Large",5.4
7,7,200,1500,"Large",5.3
7,8,300,1500,"Large",4.3
8,1,200,500,"Small",5.1
8,2,300,500,"Small",4.1
8,3,200,1500,"Small",5.1
8,4,300,1500,"Small",3.4
8,5,200,500,"Large",6.3
8,6,300,500,"Large",5.2
8,7,200,1500,"Large",5.6
8,8,300,1500,"Large",4.3
9,1,200,500,"Small",4.9
9,2,300,500,"Small",4.4
9,3,200,1500,"Small",4.2
9,4,300,1500,"Small",4.4
9,5,200,500,"Large",5.8
9,6,300,500,"Large",5.2
9,7,200,1500,"Large",5.9
9,8,300,1500,"Large",4.5
10,1,200,500,"Small",6.4
10,2,300,500,"Small",4.1
10,3,200,1500,"Small",5.3
10,4,300,1500,"Small",3.4
10,5,200,500,"Large",7.4
10,6,300,500,"Large",5.5
10,7,200,1500,"Large",5.5
10,8,300,1500,"Large",4.8
11,1,200,500,"Small",5.2
11,2,300,500,"Small",5.3
11,3,200,1500,"Small",4.5
11,4,300,1500,"Small",3.1
11,5,200,500,"Large",6.3
11,6,300,500,"Large",5.6
11,7,200,1500,"Large",5.6
11,8,300,1500,"Large",4.1
12,1,200,500,"Small",6.3
12,2,300,500,"Small",5.8
12,3,200,1500,"Small",4.1
12,4,300,1500,"Small",4.6
12,5,200,500,"Large",6.1
12,6,300,500,"Large",5.6
12,7,200,1500,"Large",4.7
12,8,300,1500,"Large",4.3
13,1,200,500,"Small",5.3
13,2,300,500,"Small",4.3
13,3,200,1500,"Small",4.5
13,4,300,1500,"Small",4
13,5,200,500,"Large",7
13,6,300,500,"Large",4.9
13,7,200,1500,"Large",5.5
13,8,300,1500,"Large",3.9
14,1,200,500,"Small",6.2
14,2,300,500,"Small",4.8
14,3,200,1500,"Small",4.3
14,4,300,1500,"Small",4.6
14,5,200,500,"Large",5.8
14,6,300,500,"Large",4.6
14,7,200,1500,"Large",4.9
14,8,300,1500,"Large",3.9
15,1,200,500,"Small",5.6
15,2,300,500,"Small",4.8
15,3,200,1500,"Small",4.7
15,4,300,1500,"Small",3.8
15,5,200,500,"Large",6.2
15,6,300,500,"Large",5.7
15,7,200,1500,"Large",6.8
15,8,300,1500,"Large",3.9
16,1,200,500,"Small",6.7
16,2,300,500,"Small",5.6
16,3,200,1500,"Small",5.2
16,4,300,1500,"Small",4.3
16,5,200,500,"Large",5.5
16,6,300,500,"Large",5.4
16,7,200,1500,"Large",5.4
16,8,300,1500,"Large",4.4
17,1,200,500,"Small",6
17,2,300,500,"Small",5.1
17,3,200,1500,"Small",5
17,4,300,1500,"Small",5.2
17,5,200,500,"Large",6.6
17,6,300,500,"Large",5
17,7,200,1500,"Large",5.9
17,8,300,1500,"Large",4.4
18,1,200,500,"Small",5.2
18,2,300,500,"Small",4.8
18,3,200,1500,"Small",5.5
18,4,300,1500,"Small",4
18,5,200,500,"Large",6.5
18,6,300,500,"Large",5.2
18,7,200,1500,"Large",6.1
18,8,300,1500,"Large",3.8
19,1,200,500,"Small",6.3
19,2,300,500,"Small",4.1
19,3,200,1500,"Small",5.2
19,4,300,1500,"Small",4.2
19,5,200,500,"Large",6.5
19,6,300,500,"Large",4.4
19,7,200,1500,"Large",5.7
19,8,300,1500,"Large",4.6
20,1,200,500,"Small",6.2
20,2,300,500,"Small",4.8
20,3,200,1500,"Small",5.3
20,4,300,1500,"Small",4.4
20,5,200,500,"Large",6
20,6,300,500,"Large",4.8
20,7,200,1500,"Large",5.6
20,8,300,1500,"Large",4.6
21,1,200,500,"Small",6.5
21,2,300,500,"Small",4.1
21,3,200,1500,"Small",4.6
21,4,300,1500,"Small",4.2
21,5,200,500,"Large",6.1
21,6,300,500,"Large",5
21,7,200,1500,"Large",6
21,8,300,1500,"Large",4.1
22,1,200,500,"Small",5.4
22,2,300,500,"Small",4.4
22,3,200,1500,"Small",4.9
22,4,300,1500,"Small",3.5
22,5,200,500,"Large",6.8
22,6,300,500,"Large",4.9
22,7,200,1500,"Large",5.7
22,8,300,1500,"Large",4.5
23,1,200,500,"Small",4.8
23,2,300,500,"Small",4.7
23,3,200,1500,"Small",5.8
23,4,300,1500,"Small",3.8
23,5,200,500,"Large",6
23,6,300,500,"Large",5.8
23,7,200,1500,"Large",5.8
23,8,300,1500,"Large",5
24,1,200,500,"Small",5.9
24,2,300,500,"Small",4.9
24,3,200,1500,"Small",5.8
24,4,300,1500,"Small",4.2
24,5,200,500,"Large",6.5
24,6,300,500,"Large",4.8
24,7,200,1500,"Large",5.9
24,8,300,1500,"Large",4.2
25,1,200,500,"Small",6.8
25,2,300,500,"Small",4.7
25,3,200,1500,"Small",4.7
25,4,300,1500,"Small",4.7
25,5,200,500,"Large",6.1
25,6,300,500,"Large",4.4
25,7,200,1500,"Large",5.1
25,8,300,1500,"Large",4.5
26,1,200,500,"Small",5.5
26,2,300,500,"Small",4.8
26,3,200,1500,"Small",4.9
26,4,300,1500,"Small",2.9
26,5,200,500,"Large",6.2
26,6,300,500,"Large",6
26,7,200,1500,"Large",5.4
26,8,300,1500,"Large",4.2
27,1,200,500,"Small",5.7
27,2,300,500,"Small",5.4
27,3,200,1500,"Small",4.6
27,4,300,1500,"Small",4.2
27,5,200,500,"Large",6
27,6,300,500,"Large",5
27,7,200,1500,"Large",5.5
27,8,300,1500,"Large",4.8
28,1,200,500,"Small",6.1
28,2,300,500,"Small",5.1
28,3,200,1500,"Small",5.6
28,4,300,1500,"Small",4.9
28,5,200,500,"Large",6.4
28,6,300,500,"Large",3.9
28,7,200,1500,"Large",5.4
28,8,300,1500,"Large",4.1
29,1,200,500,"Small",5.6
29,2,300,500,"Small",5.1
29,3,200,1500,"Small",4.8
29,4,300,1500,"Small",3.4
29,5,200,500,"Large",6.6
29,6,300,500,"Large",5.5
29,7,200,1500,"Large",5.5
29,8,300,1500,"Large",4.7
30,1,200,500,"Small",6
30,2,300,500,"Small",4.7
30,3,200,1500,"Small",4.8
30,4,300,1500,"Small",4.2
30,5,200,500,"Large",5.2
