"respondent_id","profile_id","premium","deductible","network","rating"
1,1,200,500,"Large",6.2
1,2,300,500,"Large",5
1,3,200,1500,"Large",5.3
1,4,300,1500,"Large",4.8
1,5,200,500,"Small",5
1,6,300,500,"Small",3.7
1,7,200,1500,"Small",4.3
1,8,300,1500,"Small",3.7
2,1,200,500,"Large",6
2,2,300,500,"Large",5.3
2,3,200,1500,"Large",5
2,4,300,1500,"Large",4.5
2,5,200,500,"Small",5.2
2,6,300,500,"Small",4.8
2,7,200,1500,"Small",3.4
2,8,300,1500,"Small",4.9
3,1,200,500,"Large",6.3
3,2,300,500,"Large",5.7
3,3,200,1500,"Large",4.8
3,4,300,1500,"Large",5.2
3,5,200,500,"Small",5.2
3,6,300,500,"Small",4.9
3,7,200,1500,"Small",4
3,8,300,1500,"Small",5
4,1,200,500,"Large",6
4,2,300,500,"Large",6.5
4,3,200,1500,"Large",6.1
4,4,300,1500,"Large",4.9
4,5,200,500,"Small",5.7
4,6,300,500,"Small",5.8
4,7,200,1500,"Small",4.4
4,8,300,1500,"Small",4.3
5,1,200,500,"Large",5.8
5,2,300,500,"Large",5.7
5,3,200,1500,"Large",5.3
5,4,300,1500,"Large",5.4
5,5,200,500,"Small",5.6
5,6,300,500,"Small",4.5
5,7,200,1500,"Small",4.9
5,8,300,1500,"Small",3.8
6,1,200,500,"Large",5.4
6,2,300,500,"Large",5.9
6,3,200,1500,"Large",4.6
6,4,300,1500,"Large",5
6,5,200,500,"Small",4.9
6,6,300,500,"Small",5.7
6,7,200,1500,"Small",5
6,8,300,1500,"Small",4
7,1,200,500,"Large",6.3
7,2,300,500,"Large",5.8
7,3,200,1500,"Large",4.7
7,4,300,1500,"Large",4.7
7,5,200,500,"Small",4.9
7,6,300,500,"Small",5.2
7,7,200,1500,"Small",4.3
7,8,300,1500,"Small",4.1
8,1,200,500,"Large",5.3
8,2,300,500,"Large",5.1
8,3,200,1500,"Large",5.3
8,4,300,1500,"Large",4.4
8,5,200,500,"Small",5.3
8,6,300,500,"Small",5
8,7,200,1500,"Small",4.6
8,8,300,1500,"Small",4.1
9,1,200,500,"Large",5.1
9,2,300,500,"Large",5.4
9,3,200,1500,"Large",4.4
9,4,300,1500,"Large",5.4
9,5,200,500,"Small",4.8
9,6,300,500,"Small",5
9,7,200,1500,"Small",4.9
9,8,300,1500,"Small",4.3
10,1,200,500,"Large",6.6
10,2,300,500,"Large",5.1
10,3,200,1500,"Large",5.5
10,4,300,1500,"Large",4.4
10,5,200,500,"Small",6.4
10,6,300,500,"Small",5.3
10,7,200,1500,"Small",4.5
10,8,300,1500,"Small",4.6
11,1,200,500,"Large",5.4
11,2,300,500,"Large",6.3
11,3,200,1500,"Large",4.7
11,4,300,1500,"Large",4.1
11,5,200,500,"Small",5.3
11,6,300,500,"Small",5.4
11,7,200,1500,"Small",4.6
11,8,300,1500,"Small",3.9
12,1,200,500,"Large",6.5
12,2,300,500,"Large",6.8
12,3,200,1500,"Large",4.3
12,4,300,1500,"Large",5.6
12,5,200,500,"Small",5.1
12,6,300,500,"Small",5.4
12,7,200,1500,"Small",3.7
12,8,300,1500,"Small",4.1
13,1,200,500,"Large",5.5
13,2,300,500,"Large",5.3
13,3,200,1500,"Large",4.7
13,4,300,1500,"Large",5
13,5,200,500,"Small",6
13,6,300,500,"Small",4.7
